want_ea_newsletter,which_year_EA,donate_2017_c
I already receive the newsletter,2015,100
NA,2015,NA
I already receive the newsletter,2015,1479.23
I already receive the newsletter,2011,6000
NA,2016,25000
"No, I would not like to receive the newsletter",2015,0
NA,2015,NA
I already receive the newsletter,2016,369.81
"No, I would not like to receive the newsletter",2009 or before,17011.2
I already receive the newsletter,2010,65015.3
I already receive the newsletter,2015,4000
I already receive the newsletter,2016,5916.94
I already receive the newsletter,2015,500
I already receive the newsletter,2016,7174.29
I already receive the newsletter,2016,NA
NA,2010,10000
"No, I would not like to receive the newsletter",2015,13500
I already receive the newsletter,2009 or before,0
"Yes, sign me up",I don't remember,731.69
"No, I would not like to receive the newsletter",2015,1100
"No, I would not like to receive the newsletter",I don't remember,10000
I already receive the newsletter,2013,26500
I already receive the newsletter,2014,200
I already receive the newsletter,2015,20000
"Yes, sign me up",I don't remember,1849.04
I already receive the newsletter,2017,4000
NA,I don't remember,4000
I already receive the newsletter,2018,NA
I already receive the newsletter,2016,45000
NA,2011,3073.68
I already receive the newsletter,2015,NA
NA,2009 or before,NA
I already receive the newsletter,2016,390.09
"No, I would not like to receive the newsletter",2009 or before,NA
I already receive the newsletter,2018,57.81
I already receive the newsletter,2017,300
I already receive the newsletter,2009 or before,73000
"No, I would not like to receive the newsletter",2016,100
I already receive the newsletter,2017,115.62
I already receive the newsletter,2018,1156.22
I already receive the newsletter,2015,346.87
I already receive the newsletter,2016,NA
"Yes, sign me up",2015,0
I already receive the newsletter,2016,0
I already receive the newsletter,2018,NA
I already receive the newsletter,2017,4551.07
I already receive the newsletter,2015,57.81
I already receive the newsletter,2016,390.09
NA,2014,NA
I already receive the newsletter,2015,1156.22
I already receive the newsletter,2017,0
I already receive the newsletter,2014,100
"Yes, sign me up",2016,NA
I already receive the newsletter,2017,1498.66
"No, I would not like to receive the newsletter",2009 or before,NA
NA,2017,NA
I already receive the newsletter,2011,13861.26
I already receive the newsletter,2015,NA
I already receive the newsletter,2017,2000
NA,2018,NA
I already receive the newsletter,I don't remember,NA
I already receive the newsletter,2015,650.15
"No, I would not like to receive the newsletter",2017,384.21
I already receive the newsletter,2017,1000
I already receive the newsletter,2017,NA
NA,2016,11000
I already receive the newsletter,2016,16187.12
NA,2017,2958.47
"Yes, sign me up",2017,173.43
I already receive the newsletter,2018,57.81
I already receive the newsletter,I don't remember,627.94
I already receive the newsletter,2017,804.39
"No, I would not like to receive the newsletter",2013,200
I already receive the newsletter,I don't remember,437.86
I already receive the newsletter,2016,134.9
I already receive the newsletter,2011,346.87
"No, I would not like to receive the newsletter",2016,578.11
"Yes, sign me up",2016,173.43
"No, I would not like to receive the newsletter",2017,202.35
NA,2016,NA
NA,2015,0
I already receive the newsletter,2017,500
I already receive the newsletter,2014,0
"Yes, sign me up",2018,0
NA,2016,NA
I already receive the newsletter,2016,346.87
"No, I would not like to receive the newsletter",2009 or before,7000
I already receive the newsletter,2017,18000
I already receive the newsletter,2016,1156.22
I already receive the newsletter,2016,2421.02
I already receive the newsletter,2017,1000
I already receive the newsletter,2017,924.98
I already receive the newsletter,2018,300
I already receive the newsletter,2013,3900.92
I already receive the newsletter,2016,6032.93
I already receive the newsletter,2013,NA
"Yes, sign me up",2017,200
I already receive the newsletter,2018,650.15
"Yes, sign me up",2017,NA
NA,2012,NA
NA,2017,NA
I already receive the newsletter,2016,4500
"No, I would not like to receive the newsletter",2018,0
"No, I would not like to receive the newsletter",2014,1300
NA,2016,130.03
I already receive the newsletter,2009 or before,190000
"Yes, sign me up",2016,5
I already receive the newsletter,2016,17516.78
I already receive the newsletter,2016,231.24
NA,2015,3180.35
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2018,300
I already receive the newsletter,2013,NA
NA,2017,NA
"Yes, sign me up",2013,0
NA,2015,7500
"Yes, sign me up",2016,117.03
I already receive the newsletter,2015,1349.02
"Yes, sign me up",2018,60
I already receive the newsletter,2014,26000
NA,2016,657.89
"No, I would not like to receive the newsletter",2017,0
I already receive the newsletter,2014,65.02
I already receive the newsletter,2014,8200
"Yes, sign me up",2017,NA
I already receive the newsletter,2015,7801.84
"No, I would not like to receive the newsletter",2017,31.03
I already receive the newsletter,2016,2000
"Yes, sign me up",2013,5429.85
I already receive the newsletter,2018,186.17
NA,2013,693.73
"Yes, sign me up",2017,231.24
I already receive the newsletter,2015,130.03
I already receive the newsletter,2015,138.75
I already receive the newsletter,2013,NA
I already receive the newsletter,2015,NA
I already receive the newsletter,2017,0
I already receive the newsletter,2018,693.73
I already receive the newsletter,2017,6000
I already receive the newsletter,2016,675.78
I already receive the newsletter,2015,462.49
"Yes, sign me up",2013,2000
I already receive the newsletter,2016,0
I already receive the newsletter,2018,32.51
I already receive the newsletter,2015,11.56
NA,2017,NA
I already receive the newsletter,2013,13003.06
I already receive the newsletter,2016,0
"No, I would not like to receive the newsletter",2016,NA
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,2017,578.11
I already receive the newsletter,2017,NA
I already receive the newsletter,2016,20
I already receive the newsletter,2014,2774.94
"No, I would not like to receive the newsletter",2018,NA
I already receive the newsletter,2015,78.02
NA,2015,NA
NA,2012,346.87
"Yes, sign me up",2016,1950.46
NA,2017,400
I already receive the newsletter,2017,NA
NA,2017,583.81
I already receive the newsletter,2017,2018
"No, I would not like to receive the newsletter",2015,369.81
I already receive the newsletter,2015,4047.05
"No, I would not like to receive the newsletter",2015,NA
I already receive the newsletter,2011,2450
"No, I would not like to receive the newsletter",2016,14000
"No, I would not like to receive the newsletter",2011,NA
I already receive the newsletter,2016,768.42
I already receive the newsletter,2016,2000
"Yes, sign me up",2014,7248.25
I already receive the newsletter,2016,0
I already receive the newsletter,2015,500
"No, I would not like to receive the newsletter",2018,200
NA,2016,NA
I already receive the newsletter,2016,0
NA,2016,3900.92
I already receive the newsletter,2017,NA
NA,2017,NA
I already receive the newsletter,2017,268.95
I already receive the newsletter,2016,9000
I already receive the newsletter,2017,500
I already receive the newsletter,2017,346.87
I already receive the newsletter,2015,0
"Yes, sign me up",2018,7.4
I already receive the newsletter,2017,NA
"No, I would not like to receive the newsletter",2018,0
I already receive the newsletter,2016,5000
"Yes, sign me up",2017,2000
NA,2009 or before,NA
NA,I don't remember,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2016,11.56
I already receive the newsletter,2017,5000
I already receive the newsletter,2010,9362.2
"Yes, sign me up",2017,0
I already receive the newsletter,2013,9249.78
I already receive the newsletter,2016,5000
NA,2018,NA
"No, I would not like to receive the newsletter",I don't remember,110
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,2015,100
I already receive the newsletter,2017,650
I already receive the newsletter,2015,0
I already receive the newsletter,2014,1500
I already receive the newsletter,2015,5781.11
"No, I would not like to receive the newsletter",2012,0
I already receive the newsletter,2016,NA
"Yes, sign me up",2017,450.52
I already receive the newsletter,2018,NA
"No, I would not like to receive the newsletter",2017,40
"Yes, sign me up",2010,2305.26
NA,2016,NA
"No, I would not like to receive the newsletter",2018,800
I already receive the newsletter,2016,127.43
I already receive the newsletter,2018,135.89
NA,2013,NA
NA,2016,4000
I already receive the newsletter,2015,NA
I already receive the newsletter,2015,16000
I already receive the newsletter,2011,624.15
I already receive the newsletter,2018,0
"Yes, sign me up",2015,NA
I already receive the newsletter,2014,4500
"Yes, sign me up",2017,1000
NA,2014,3000
"Yes, sign me up",2011,443.77
I already receive the newsletter,2017,0
I already receive the newsletter,2009 or before,3900.92
NA,2017,NA
NA,2012,65.02
I already receive the newsletter,2018,0
NA,2017,NA
I already receive the newsletter,2015,2000
"Yes, sign me up",2016,20
"Yes, sign me up",2017,650
NA,2016,2997.31
I already receive the newsletter,2017,34.69
NA,2015,NA
"Yes, sign me up",2017,115.62
"No, I would not like to receive the newsletter",2016,100
NA,2014,0
I already receive the newsletter,2014,33.63
I already receive the newsletter,2017,8093.56
I already receive the newsletter,2018,NA
I already receive the newsletter,2016,1618.71
"No, I would not like to receive the newsletter",2014,1040.6
NA,I don't remember,NA
I already receive the newsletter,2009 or before,560.49
NA,2011,NA
"No, I would not like to receive the newsletter",2017,NA
"Yes, sign me up",2015,7263.06
"No, I would not like to receive the newsletter",I don't remember,NA
I already receive the newsletter,2017,3900.92
I already receive the newsletter,2011,0
"No, I would not like to receive the newsletter",2017,13.49
I already receive the newsletter,2013,138.75
I already receive the newsletter,2017,9102.14
I already receive the newsletter,2016,NA
NA,2014,NA
NA,2017,NA
I already receive the newsletter,2016,147.92
"Yes, sign me up",2017,173.43
I already receive the newsletter,2015,1300.31
"No, I would not like to receive the newsletter",2018,1500
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2017,NA
I already receive the newsletter,2016,1479.23
NA,2015,NA
I already receive the newsletter,2014,5201.22
I already receive the newsletter,2014,NA
I already receive the newsletter,2013,0
I already receive the newsletter,2015,260.06
I already receive the newsletter,2013,7572.2
I already receive the newsletter,2018,36.98
I already receive the newsletter,2015,2500
I already receive the newsletter,2009 or before,250
"Yes, sign me up",2018,NA
I already receive the newsletter,2017,0
I already receive the newsletter,2014,1000
NA,2018,NA
I already receive the newsletter,2016,7396.17
I already receive the newsletter,2017,NA
"Yes, sign me up",2018,NA
"Yes, sign me up",2014,NA
"No, I would not like to receive the newsletter",2016,2000
"Yes, sign me up",2012,6.5
"No, I would not like to receive the newsletter",2017,260.06
"Yes, sign me up",2017,260.06
I already receive the newsletter,2017,0
NA,2016,NA
NA,2017,7500
I already receive the newsletter,2014,78.02
I already receive the newsletter,2017,300
"Yes, sign me up",2017,4721.56
"Yes, sign me up",2016,27000
I already receive the newsletter,2014,844.04
I already receive the newsletter,2016,NA
I already receive the newsletter,2015,0
NA,2016,NA
I already receive the newsletter,2011,NA
I already receive the newsletter,2017,100
I already receive the newsletter,2016,1156.22
I already receive the newsletter,2017,1300.31
"Yes, sign me up",2016,5000
NA,2014,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2014,336.29
"No, I would not like to receive the newsletter",2017,0
I already receive the newsletter,2016,200
I already receive the newsletter,2011,6501.53
I already receive the newsletter,2017,5
I already receive the newsletter,I don't remember,NA
I already receive the newsletter,2016,462.49
I already receive the newsletter,2009 or before,56000
I already receive the newsletter,2010,NA
I already receive the newsletter,2016,3000
I already receive the newsletter,2014,10757.89
NA,2015,NA
I already receive the newsletter,2016,30
I already receive the newsletter,2013,10402.45
"No, I would not like to receive the newsletter",I don't remember,3000
I already receive the newsletter,2012,0
I already receive the newsletter,2012,NA
I already receive the newsletter,2015,8000
I already receive the newsletter,2013,0
I already receive the newsletter,2015,3000
I already receive the newsletter,2017,NA
NA,2017,NA
I already receive the newsletter,2016,4000
NA,I don't remember,200
I already receive the newsletter,2013,5000
I already receive the newsletter,2017,231.24
I already receive the newsletter,2017,650.15
NA,2009 or before,1000
I already receive the newsletter,2014,1271.85
I already receive the newsletter,2016,910.21
I already receive the newsletter,2017,0
I already receive the newsletter,2016,1387.47
I already receive the newsletter,2013,1206.59
NA,2016,NA
I already receive the newsletter,2017,NA
"No, I would not like to receive the newsletter",2017,150
I already receive the newsletter,2018,7.68
I already receive the newsletter,2017,0
I already receive the newsletter,2016,700
I already receive the newsletter,2013,506650
NA,2017,0
I already receive the newsletter,2015,1442.47
"Yes, sign me up",2018,11265.79
I already receive the newsletter,2017,25000
I already receive the newsletter,2016,922.1
I already receive the newsletter,2016,30
I already receive the newsletter,2016,200
I already receive the newsletter,2018,312.07
I already receive the newsletter,2016,9000
I already receive the newsletter,2016,250
I already receive the newsletter,2014,520.12
I already receive the newsletter,2012,1e+05
"Yes, sign me up",2018,NA
"Yes, sign me up",2016,30000
I already receive the newsletter,2017,200
I already receive the newsletter,2016,2000
I already receive the newsletter,2016,5500
I already receive the newsletter,2017,6000
NA,2015,NA
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2017,500
I already receive the newsletter,2017,455.11
NA,2016,NA
"Yes, sign me up",2009 or before,3000
I already receive the newsletter,2015,500
I already receive the newsletter,2017,0
I already receive the newsletter,2016,0
"Yes, sign me up",I don't remember,390.09
I already receive the newsletter,2015,24000
"Yes, sign me up",2016,3600
NA,2016,NA
I already receive the newsletter,2015,200
"Yes, sign me up",2018,NA
NA,2017,NA
I already receive the newsletter,2013,1005.49
I already receive the newsletter,I don't remember,2802.43
I already receive the newsletter,2016,260.06
I already receive the newsletter,2016,1011.76
I already receive the newsletter,2016,0
I already receive the newsletter,2015,0
I already receive the newsletter,2016,2958.47
I already receive the newsletter,2015,900
NA,2010,2774.94
"No, I would not like to receive the newsletter",2012,NA
NA,2017,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2015,4500
I already receive the newsletter,2017,0
I already receive the newsletter,2016,591.69
NA,NA,NA
NA,I don't remember,NA
NA,2018,2312.45
I already receive the newsletter,2017,1950.46
"Yes, sign me up",2018,6.75
"Yes, sign me up",2017,34.69
I already receive the newsletter,2017,0
I already receive the newsletter,2017,2600.61
"No, I would not like to receive the newsletter",2013,0
NA,2017,NA
I already receive the newsletter,2018,0
"Yes, sign me up",2017,0
I already receive the newsletter,2014,3250.77
I already receive the newsletter,2018,NA
I already receive the newsletter,I don't remember,1040.24
I already receive the newsletter,2011,650.15
I already receive the newsletter,2015,14792.35
"Yes, sign me up",2017,NA
NA,2017,NA
I already receive the newsletter,2014,73.17
I already receive the newsletter,2017,260.06
NA,2015,NA
NA,2018,NA
I already receive the newsletter,2014,NA
I already receive the newsletter,2013,57638.66
I already receive the newsletter,2017,10.79
I already receive the newsletter,2017,7862.32
"Yes, sign me up",2017,336.29
I already receive the newsletter,2018,390.09
I already receive the newsletter,2011,4291.01
I already receive the newsletter,2015,847.51
I already receive the newsletter,2017,2774.94
"No, I would not like to receive the newsletter",2015,739.62
I already receive the newsletter,2017,2890.56
I already receive the newsletter,2017,0
I already receive the newsletter,2018,208.05
NA,2016,NA
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,NA
"No, I would not like to receive the newsletter",2017,0
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,2340.55
NA,2018,NA
NA,2015,NA
I already receive the newsletter,2015,455.11
I already receive the newsletter,2014,3120.73
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2017,338.08
NA,2015,NA
"No, I would not like to receive the newsletter",2017,1200
I already receive the newsletter,2016,325.08
"No, I would not like to receive the newsletter",2015,2698.04
I already receive the newsletter,2010,9615.02
I already receive the newsletter,2014,739.62
NA,2016,NA
NA,2017,NA
NA,2017,674.51
NA,2018,NA
"Yes, sign me up",2018,23.12
I already receive the newsletter,I don't remember,13490.18
I already receive the newsletter,2015,0
I already receive the newsletter,2018,221.89
NA,2015,NA
I already receive the newsletter,2017,374.66
I already receive the newsletter,2015,13
I already receive the newsletter,2009 or before,3006.18
NA,2017,0
I already receive the newsletter,2012,130.03
"Yes, sign me up",2017,2275.54
I already receive the newsletter,2017,2000
I already receive the newsletter,2016,4624.89
I already receive the newsletter,2014,2730.64
NA,2017,NA
I already receive the newsletter,2015,195.05
I already receive the newsletter,2016,7801.84
I already receive the newsletter,2009 or before,2500
"Yes, sign me up",I don't remember,0
I already receive the newsletter,2015,231.24
I already receive the newsletter,2016,NA
I already receive the newsletter,2016,1109.43
"Yes, sign me up",2016,10000
NA,2017,NA
I already receive the newsletter,2014,NA
I already receive the newsletter,2016,390.09
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,1950.46
I already receive the newsletter,2014,NA
I already receive the newsletter,2017,3000
I already receive the newsletter,2012,0
NA,2014,NA
I already receive the newsletter,2012,0
NA,I don't remember,NA
NA,2017,NA
"Yes, sign me up",2011,443.77
I already receive the newsletter,2009 or before,NA
I already receive the newsletter,2017,40
I already receive the newsletter,I don't remember,4000
"Yes, sign me up",2009 or before,2000
NA,2016,517.73
"No, I would not like to receive the newsletter",2017,0
I already receive the newsletter,2017,NA
"No, I would not like to receive the newsletter",2012,10000
I already receive the newsletter,2012,307.37
NA,2015,NA
I already receive the newsletter,2016,0
NA,2016,NA
I already receive the newsletter,2014,461.05
"Yes, sign me up",2018,600
"Yes, sign me up",2013,NA
I already receive the newsletter,2018,NA
I already receive the newsletter,2009 or before,0
I already receive the newsletter,2009 or before,8135.79
I already receive the newsletter,2014,52.01
I already receive the newsletter,2015,5916.94
I already receive the newsletter,2012,1536.84
NA,I don't remember,30000
I already receive the newsletter,2016,100
I already receive the newsletter,2016,250
I already receive the newsletter,2017,3000
I already receive the newsletter,2017,NA
"Yes, sign me up",2016,1109.43
I already receive the newsletter,2017,38.42
I already receive the newsletter,2017,0
"Yes, sign me up",2017,1000
I already receive the newsletter,2015,0
I already receive the newsletter,2013,0
"Yes, sign me up",2016,NA
I already receive the newsletter,2015,5400
I already receive the newsletter,2013,15000
I already receive the newsletter,2014,18490.43
I already receive the newsletter,2016,200
NA,2016,6800
I already receive the newsletter,2016,315
I already receive the newsletter,2016,100
I already receive the newsletter,2016,100
NA,2016,NA
I already receive the newsletter,2015,100
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,2000
I already receive the newsletter,2015,13000
I already receive the newsletter,2014,500
I already receive the newsletter,2015,6000
NA,2011,4000
NA,2018,NA
I already receive the newsletter,I don't remember,1000
I already receive the newsletter,2015,0
NA,2012,NA
NA,2017,NA
I already receive the newsletter,2017,60
I already receive the newsletter,2016,NA
I already receive the newsletter,2014,800
"Yes, sign me up",2016,NA
"Yes, sign me up",2017,500
NA,2010,NA
I already receive the newsletter,2015,898.99
I already receive the newsletter,2009 or before,6000
I already receive the newsletter,2017,5
I already receive the newsletter,2017,1500
"Yes, sign me up",2017,5000
"Yes, sign me up",2015,1e+05
I already receive the newsletter,2009 or before,2000
I already receive the newsletter,2015,5000
I already receive the newsletter,2016,1000
I already receive the newsletter,2016,300
NA,2016,739.62
I already receive the newsletter,2012,6878.44
"No, I would not like to receive the newsletter",2012,7396.17
NA,2017,NA
NA,2017,0
I already receive the newsletter,2017,0
I already receive the newsletter,2016,500
I already receive the newsletter,2010,3250.77
"No, I would not like to receive the newsletter",2013,2200
I already receive the newsletter,I don't remember,37708.87
I already receive the newsletter,2015,2312.45
I already receive the newsletter,2017,0
I already receive the newsletter,2016,0
"No, I would not like to receive the newsletter",2009 or before,22000
"Yes, sign me up",I don't remember,0
I already receive the newsletter,2014,50
NA,2012,NA
"No, I would not like to receive the newsletter",2014,289.06
I already receive the newsletter,2015,23.12
"Yes, sign me up",2017,578.11
"No, I would not like to receive the newsletter",2016,561.82
"No, I would not like to receive the newsletter",2013,8065
I already receive the newsletter,2018,0
"Yes, sign me up",2018,NA
"No, I would not like to receive the newsletter",2016,115.62
NA,2014,11.56
I already receive the newsletter,2016,NA
NA,2015,1000
I already receive the newsletter,2017,30
I already receive the newsletter,2016,1536.84
I already receive the newsletter,2017,2100
I already receive the newsletter,2009 or before,60000
"No, I would not like to receive the newsletter",2009 or before,3698.09
"Yes, sign me up",I don't remember,300
"Yes, sign me up",2015,11094.26
NA,2018,NA
I already receive the newsletter,2016,0
"Yes, sign me up",2018,2312.45
I already receive the newsletter,2017,1734.33
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,NA
"Yes, sign me up",2012,0
I already receive the newsletter,2015,2080.49
I already receive the newsletter,2016,130.03
I already receive the newsletter,2015,NA
"Yes, sign me up",2018,57.81
"No, I would not like to receive the newsletter",2017,0
"Yes, sign me up",2017,295.85
I already receive the newsletter,2015,260.06
I already receive the newsletter,2017,390.09
I already receive the newsletter,2016,726.31
"Yes, sign me up",2017,0
NA,2017,NA
I already receive the newsletter,2013,3468.67
"Yes, sign me up",2016,46.25
"No, I would not like to receive the newsletter",2016,39009.18
"Yes, sign me up",I don't remember,18.21
"Yes, sign me up",2015,57.81
NA,2014,NA
"No, I would not like to receive the newsletter",2016,57.81
"Yes, sign me up",2014,NA
NA,2014,NA
I already receive the newsletter,2016,18490.43
I already receive the newsletter,2016,NA
"Yes, sign me up",2018,0
NA,2017,NA
NA,2017,0
NA,2015,1000
"Yes, sign me up",2017,2000
"No, I would not like to receive the newsletter",2016,30000
I already receive the newsletter,2015,6000
I already receive the newsletter,2013,3150
I already receive the newsletter,I don't remember,19670
I already receive the newsletter,2016,6400
I already receive the newsletter,2016,NA
I already receive the newsletter,2013,2000
"No, I would not like to receive the newsletter",2013,NA
"No, I would not like to receive the newsletter",2017,50000
"Yes, sign me up",2015,17000
I already receive the newsletter,2017,0
"Yes, sign me up",2015,2100
"No, I would not like to receive the newsletter",2016,2000
NA,I don't remember,NA
"No, I would not like to receive the newsletter",2015,3500
NA,2016,1000
"Yes, sign me up",2015,2990.7
NA,2013,NA
I already receive the newsletter,2013,7400
"Yes, sign me up",2017,NA
I already receive the newsletter,2011,190.24
"No, I would not like to receive the newsletter",2017,910.21
"No, I would not like to receive the newsletter",2010,10000
"Yes, sign me up",2015,12000
NA,2016,NA
NA,2013,780.18
"No, I would not like to receive the newsletter",I don't remember,6810.71
NA,I don't remember,NA
"Yes, sign me up",2017,1000
"No, I would not like to receive the newsletter",2017,11.56
I already receive the newsletter,2016,300
"No, I would not like to receive the newsletter",2015,1000
"No, I would not like to receive the newsletter",2015,10000
"No, I would not like to receive the newsletter",2015,3698.09
NA,2013,NA
NA,2014,NA
NA,2017,NA
I already receive the newsletter,2017,0
"Yes, sign me up",2012,10000
"Yes, sign me up",2010,1500
"No, I would not like to receive the newsletter",2013,16000
NA,2011,31000
"No, I would not like to receive the newsletter",2010,200
"Yes, sign me up",2009 or before,539985.8
"No, I would not like to receive the newsletter",2015,0
"Yes, sign me up",2016,22000
"No, I would not like to receive the newsletter",2015,6000
"No, I would not like to receive the newsletter",2015,1183.39
"No, I would not like to receive the newsletter",2015,2000
NA,2016,0
I already receive the newsletter,2009 or before,0
NA,2010,NA
"Yes, sign me up",2015,900
"No, I would not like to receive the newsletter",2016,700
I already receive the newsletter,2015,9000
"Yes, sign me up",2017,180
NA,2011,200
I already receive the newsletter,2014,1156.22
"No, I would not like to receive the newsletter",2016,0
NA,2017,NA
NA,2017,NA
NA,2018,0
I already receive the newsletter,2017,384.21
I already receive the newsletter,2016,3000
"No, I would not like to receive the newsletter",2016,93.08
NA,2014,NA
I already receive the newsletter,2015,12500
NA,2017,839
I already receive the newsletter,2017,3250.77
I already receive the newsletter,2015,3000
"Yes, sign me up",2018,NA
NA,2013,NA
I already receive the newsletter,2016,500
NA,2017,NA
"No, I would not like to receive the newsletter",I don't remember,250
NA,2016,750
"No, I would not like to receive the newsletter",2016,400
"No, I would not like to receive the newsletter",2017,650.15
"No, I would not like to receive the newsletter",2011,45000
"No, I would not like to receive the newsletter",2017,2000
"No, I would not like to receive the newsletter",2016,1000
"No, I would not like to receive the newsletter",2014,8000
"No, I would not like to receive the newsletter",2016,3.84
"Yes, sign me up",2017,100
"Yes, sign me up",2010,NA
I already receive the newsletter,2015,3000
"Yes, sign me up",2018,9000
"No, I would not like to receive the newsletter",2016,13000
I already receive the newsletter,2015,3000
I already receive the newsletter,2011,0
"Yes, sign me up",2016,0
NA,2017,NA
NA,2016,300
I already receive the newsletter,2017,9151
NA,2012,1000
I already receive the newsletter,2015,462.49
"No, I would not like to receive the newsletter",2014,6147.36
NA,2016,NA
"Yes, sign me up",2017,578.11
"No, I would not like to receive the newsletter",2015,20000
I already receive the newsletter,2014,0
NA,2013,NA
"No, I would not like to receive the newsletter",2016,0
I already receive the newsletter,2016,0
"No, I would not like to receive the newsletter",2017,2000
NA,2016,NA
NA,I don't remember,NA
"Yes, sign me up",2016,1000
"No, I would not like to receive the newsletter",2015,NA
I already receive the newsletter,2015,614.74
NA,2018,NA
I already receive the newsletter,2014,3000
I already receive the newsletter,2013,1844.18
I already receive the newsletter,I don't remember,11562.23
"No, I would not like to receive the newsletter",2016,652.26
I already receive the newsletter,2015,4624.89
"No, I would not like to receive the newsletter",2014,1156.22
NA,2018,NA
I already receive the newsletter,2012,5201.22
NA,2016,NA
"No, I would not like to receive the newsletter",2014,45000
"Yes, sign me up",2016,145.95
NA,2011,0
"No, I would not like to receive the newsletter",2014,NA
"No, I would not like to receive the newsletter",2016,269.7
"No, I would not like to receive the newsletter",2014,NA
I already receive the newsletter,2015,930.83
"No, I would not like to receive the newsletter",I don't remember,NA
"Yes, sign me up",2012,78.47
"Yes, sign me up",2015,9622.26
"No, I would not like to receive the newsletter",2016,0
NA,2017,NA
I already receive the newsletter,I don't remember,NA
"No, I would not like to receive the newsletter",2015,8000
"Yes, sign me up",2015,12000
NA,2015,NA
I already receive the newsletter,I don't remember,0
"No, I would not like to receive the newsletter",2015,0
"No, I would not like to receive the newsletter",2016,NA
"No, I would not like to receive the newsletter",2010,2312.45
NA,2017,NA
"No, I would not like to receive the newsletter",2015,40000
I already receive the newsletter,2015,3000
NA,2016,3.66
I already receive the newsletter,2016,384.21
I already receive the newsletter,2016,6600
"No, I would not like to receive the newsletter",2015,15000
"No, I would not like to receive the newsletter",2015,16000
I already receive the newsletter,2011,1000
"No, I would not like to receive the newsletter",2017,1000
"No, I would not like to receive the newsletter",2017,20000
"No, I would not like to receive the newsletter",2014,50000
I already receive the newsletter,2017,6608.42
"No, I would not like to receive the newsletter",2015,4800
NA,2016,NA
I already receive the newsletter,2017,200
NA,2014,NA
"No, I would not like to receive the newsletter",2009 or before,23000
NA,2017,NA
NA,2017,NA
"No, I would not like to receive the newsletter",2016,1000
I already receive the newsletter,2014,0
I already receive the newsletter,2018,1000
"No, I would not like to receive the newsletter",2016,5400
"No, I would not like to receive the newsletter",2014,6000
"Yes, sign me up",2015,0
NA,I don't remember,17400
"No, I would not like to receive the newsletter",2016,800
I already receive the newsletter,2014,645.47
"Yes, sign me up",2015,12000
"No, I would not like to receive the newsletter",2017,20000
"No, I would not like to receive the newsletter",I don't remember,NA
"Yes, sign me up",2016,4000
"No, I would not like to receive the newsletter",2015,18000
"No, I would not like to receive the newsletter",2017,5000
"Yes, sign me up",2015,200
I already receive the newsletter,2010,526786.47
"Yes, sign me up",2014,1500
I already receive the newsletter,2016,0
NA,2016,NA
NA,2015,100
I already receive the newsletter,2014,1
"No, I would not like to receive the newsletter",I don't remember,5781.11
I already receive the newsletter,2015,13
"Yes, sign me up",2017,7.4
"Yes, sign me up",2017,NA
"Yes, sign me up",2017,1000
NA,2016,NA
I already receive the newsletter,2015,2218.85
"No, I would not like to receive the newsletter",2013,0
"No, I would not like to receive the newsletter",2018,260.06
NA,2018,NA
I already receive the newsletter,2015,0
I already receive the newsletter,2016,5201.22
NA,2014,1536.84
NA,2013,3000
I already receive the newsletter,2015,19000
"Yes, sign me up",2014,1300.31
"No, I would not like to receive the newsletter",2016,8085
I already receive the newsletter,2017,307.37
I already receive the newsletter,2014,28500
NA,2011,NA
I already receive the newsletter,2010,130000
"Yes, sign me up",2013,26500
NA,2017,50.71
I already receive the newsletter,2014,0
I already receive the newsletter,2016,0
"Yes, sign me up",2017,2500
NA,2013,1005.49
I already receive the newsletter,2017,39.01
"Yes, sign me up",2017,768.42
"Yes, sign me up",2016,0
NA,2016,NA
I already receive the newsletter,2018,130.03
I already receive the newsletter,2015,0
I already receive the newsletter,2017,35108.26
"No, I would not like to receive the newsletter",2017,13003.06
I already receive the newsletter,I don't remember,NA
"No, I would not like to receive the newsletter",2015,910.21
NA,2015,NA
I already receive the newsletter,2017,NA
I already receive the newsletter,2017,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2016,0
I already receive the newsletter,2013,NA
"Yes, sign me up",2017,NA
I already receive the newsletter,2014,3846.01
I already receive the newsletter,2012,70000
I already receive the newsletter,2014,184.9
"No, I would not like to receive the newsletter",2018,NA
I already receive the newsletter,2012,182042.84
I already receive the newsletter,2017,156.04
"No, I would not like to receive the newsletter",2012,481.11
I already receive the newsletter,2015,NA
